Item,Qty,Price Each,Running Total
https://www.amazon.com/2-13inch-Flexible-Display-HAT-Raspberry/dp/B081HFWQLQ,1,$22.57,$22.57
https://www.amazon.com/Taglory-Reflective-Adjustable-Release-Training/dp/B088QWQJW8/,1,$8.99,$31.56
https://www.amazon.com/Taglory-Comfortable-Padded-Reflective-Threads/dp/B08CVFZVZB/,1,$8.69,$40.25
